Player,Player-additional,Ht.,Wt.
Rico Rossy,rossyri01,5-10,175.0
Phil Routcliffe,routcph01,6-0,175.0
Dave Rowan,rowanda01,5-11,175.0
Ryan Rowland-Smith,rowlary01,6-3,250.0
Jean-Pierre Roy,royje01,5-10,160.0
Wilkin Ruan,ruanwi01,6-0,170.0
Jorge Rubio,rubiojo01,6-3,200.0
Antonio Ruiz,ruizan01,6-0,174.0
Carlos Ruiz,ruizca01,5-10,215.0
Chico Ruiz,ruizch01,6-0,169.0
Chico Ruiz,ruizch02,5-11,170.0
Esteury Ruiz,ruizes01,6-0,169.0
José Ruiz,ruizjo01,6-1,245.0
Keibert Ruiz,ruizke01,6-0,238.0
Norge Ruíz,ruizno01,5-10,190.0
Silvino Ruiz,ruizsi01,,
Johnny Rutherford,ruthejo01,5-10,170.0
Cyclone Ryan,ryancy01,6-0,200.0
Hyun Jin Ryu,ryuhy01,6-3,250.0
Jae Kuk Ryu,ryuja01,6-3,210.0
Olmedo Sáenz,saenzol01,6-2,185.0
Takashi Saito,saitota01,6-2,200.0
Fernando Salas,salasfe01,6-2,200.0
Juan Salas,salasju01,6-2,190.0
Marino Salas,salasma02,6-0,195.0
Wilfredo Salas,salaswi01,,
Ángel Salazar,salazan01,6-0,180.0
Cándido Salazar,salazca01,,
César Salazar,salazce01,5-9,198.0
Danny Salazar,salazda01,6-0,195.0
Eduardo Salazar,salazed01,6-2,177.0
Lázaro Salazar,salazla01,5-9,175.0
Luis Salazar,salazlu01,5-9,180.0
Óscar Salazar,salazos01,6-0,195.0
Santiago Salazar,salazsa01,6-0,195.0
Chico Salmon,salmoch01,5-10,160.0
Ángel Salomé,saloman01,5-7,200.0
Manuel Salvat,salvama01,5-7,
Ormond Sampson,sampsor01,6-0,178.0
Amado Samuel,samueam01,6-1,170.0
Juan Samuel,samueju01,5-11,170.0
Carlos Sanabria,sanabca01,6-3,200.0
Adrián Sanchez,sanchad01,6-0,197.0
Alejandro Sánchez,sanchal01,6-0,185.0
Álex Sánchez,sanchal03,5-10,180.0
Alí Sánchez,sanchal04,6-1,200.0
Aníbal Sánchez,sanchan01,6-0,207.0
Angel Sánchez,sanchan02,6-1,205.0
Ángel Sánchez,sanchan03,6-1,190.0
Yolmer Sánchez,sanchca01,5-7,210.0
Celerino Sánchez,sanchce01,5-11,160.0
Cristopher Sánchez,sanchcr01,6-1,165.0
Duaner Sánchez,sanchdu01,6-2,210.0
Eduardo Sánchez,sanched01,5-11,180.0
Félix Sánchez,sanchfe01,6-3,180.0
Gary Sánchez,sanchga02,6-2,258.0
Héctor Sánchez,sanchhe01,6-0,220.0
Humberto Sánchez,sanchhu01,6-6,270.0
Israel Sánchez,sanchis01,5-9,170.0
Jesús Sánchez,sanchje01,5-10,165.0
Jesús Sánchez,sanchje02,6-3,222.0
Jonathan Sánchez,sanchjo01,6-0,200.0
Luis Sánchez,sanchlu01,6-2,170.0
Miguel Sánchez,sanchmi01,6-3,205.0
Orlando Sánchez,sanchor01,6-1,195.0
Raúl Sánchez,sanchra01,6-0,150.0
Raúl Sánchez,sanchra02,,
Rey Sánchez,sanchre01,5-10,180.0
Ricardo Sánchez,sanchri01,5-10,220.0
Rómulo Sánchez,sanchro01,6-5,270.0
Sixto Sánchez,sanchsi01,6-0,234.0
Phoenix Sanders,sandeph01,5-10,205.0
Danny Sandoval,sandoda01,5-11,190.0
Freddy Sandoval,sandofr01,6-1,205.0
Pablo Sandoval,sandopa01,5-10,268.0
Manny Sanguillén,sanguma01,6-0,193.0
Amauri Sanit,sanitam01,5-8,205.0
Pedro Ballester,sanmape01,5-8,160.0
Reiver Sanmartin,sanmare01,6-2,160.0
Miguel Sanó,sanomi01,6-4,272.0
Pedro San,sanpe01,5-9,
Andrés Santana,santaan01,5-11,160.0
Anthony Santander,santaan02,6-2,230.0
Anastasio Santaella,santaan03,5-5,
Carlos Santana,santaca01,5-11,210.0
Danny Santana,santada01,5-11,195.0
Dennis Santana,santade01,6-2,190.0
Domingo Santana,santado01,6-5,232.0
Edgar Santana,santaed01,6-2,205.0
Ervin Santana,santaer01,6-2,175.0
Johan Santana,santajo02,6-0,210.0
Julio Santana,santaju01,6-0,175.0
Marino Santana,santama01,6-1,175.0
Pedro Santana,santape01,5-11,160.0
Rafael Santana,santara01,6-1,165.0
Benito Santiago,santibe01,6-1,180.0
Carlos Santiago,santica01,5-11,170.0
José Santiago,santijo01,5-10,175.0
José Santiago,santijo02,6-2,185.0
José Santiago,santijo03,6-3,200.0
Ramón Santiago,santira01,5-11,185.0
Ángel Santos,santoan01,5-11,178.0
Antonio Santos,santoan02,6-3,233.0
Francisco Santos,santofr01,6-1,170.0
Gregory Santos,santogr01,6-2,190.0
Luis Santos,santolu01,6-0,225.0
Nelson Santovenia,santone01,6-3,195.0
Omir Santos,santoom01,6-0,215.0
Rafael Santo Domingo,santora01,6-0,160.0
Víctor Santos,santovi01,6-2,205.0
Luis Sardiñas,sardilu01,6-1,180.0
Manny Sarmiento,sarmima01,6-0,170.0
Kazuhiro Sasaki,sasakka01,6-4,209.0
Luis Saturria,saturlu01,6-2,165.0
Michael Saunders,saundmi01,6-4,225.0
Warwick Saupold,saupowa01,6-2,223.0
Hirokazu Sawamura,sawamhi01,6-0,212.0
Pat Scanlon,scanlpa01,6-0,180.0
Pat Scantlebury,scantpa01,6-1,180.0
Rube Schauer,schauru01,6-2,192.0
Dutch Schesler,schesdu01,6-2,185.0
Dutch Schliebner,schlidu01,5-10,180.0
Jonathan Schoop,schoojo01,6-1,247.0
Mickey Scott,scottmi02,6-1,155.0
Tayler Scott,scottta02,6-3,185.0
Marco Scutaro,scutama01,5-10,185.0
Diego Seguí,seguidi01,6-0,190.0
Fernando Seguignol,seguife01,6-5,257.0
Jean Segura,segurje01,5-10,220.0
José Segura,segurjo01,5-11,180.0
George Selkirk,selkige01,6-1,182.0
Kodai Senga,sengako01,6-1,202.0
Antonio Senzatela,senzaan01,6-1,236.0
Jae Weong Seo,seoja01,6-1,215.0
Leyson Séptimo,septile01,6-1,200.0
Álex Serrano,serraal01,6-1,200.0
Wascar Serrano,serrawa01,6-2,180.0
Anderson Severino,severan01,5-10,190.0
Atahualpa Severino,severat01,5-11,220.0
Luis Severino,severlu01,6-2,218.0
Pedro Severino,severpe01,6-1,235.0
Gus Shallix,shallgu01,5-11,165.0
Harvey Shank,shankha01,6-4,220.0
Al Shaw,shawal01,5-8,170.0
Vince Shields,shielvi01,5-11,185.0
Tsuyoshi Shinjo,shinjts01,6-1,185.0
Dave Shipanoff,shipada01,6-2,185.0
Craig Shipley,shiplcr01,6-1,175.0
Joe Siddall,siddajo01,6-1,200.0
Candy Sierra,sierrca01,6-2,190.0
Felipe Sierra,sierrfe01,5-4,
Magneuris Sierra,sierrma01,5-11,178.0
Moisés Sierra,sierrmo01,6-1,233.0
Rubén Sierra,sierrru01,6-1,175.0
Carlos Silva,silvaca01,6-4,280.0
José Silva,silvajo01,6-6,235.0
Pedro Silva,silvape01,,
Walter Silva,silvawa01,6-1,190.0
Luis Silverio,silvelu01,5-11,165.0
Tom Silverio,silveto01,5-10,170.0
Andrelton Simmons,simmoan01,6-2,195.0
Alfredo Simón,simonal01,6-6,265.0
Randall Simon,simonra01,6-0,180.0
Steve Sinclair,sinclst01,6-2,190.0
Bert Sincock,sincobe01,5-10,165.0
Jose Siri,sirijo01,6-2,210.0
Harry Sketchley,sketcbu01,5-10,180.0
Cade Smith,smithca06,6-5,230.0
Ed Smith,smithed05,,
Frank Smith,smithfr01,5-10,175.0
Harry Smith,smithha03,5-8,165.0
Klondike Smith,smithkl01,5-9,160.0
Pop Smith,smithpo01,5-11,170.0
Cooney Snyder,snydeco01,6-3,180.0
Miguel Socolovich,socolmi01,6-1,205.0
Luis Sojo,sojolu01,5-11,172.0
Tony Solaita,solaito01,6-0,210.0
Donovan Solano,solando01,5-8,210.0
Jhonatan Solano,solanjh01,5-9,214.0
Julio Solano,solanju01,6-1,160.0
Yangervis Solarte,solarya01,5-11,220.0
Alay Soler,soleral01,6-1,240.0
Jorge Soler,solerjo01,6-4,235.0
Alí Solís,solisal01,6-0,200.0
Marcelino Solis,solisma01,6-1,185.0
Miguel Solís,solismi01,,
Alfonso Soriano,soriaal01,6-1,195.0
George Soriano,soriage01,6-2,210.0
Joakim Soria,soriajo01,6-3,205.0
José Soriano,soriajo02,6-3,220.0
Rafael Soriano,soriara01,6-4,230.0
Michael Soroka,sorokmi01,6-5,250.0
Edmundo Sosa,sosaed01,6-0,210.0
Elías Sosa,sosael01,6-2,186.0
Henry Sosa,sosahe01,6-1,210.0
José Sosa,sosajo01,5-11,158.0
Jorge Sosa,sosajo02,6-2,220.0
Juan Sosa,sosaju01,6-1,175.0
Lenyn Sosa,sosale01,6-0,210.0
Sammy Sosa,sosasa01,6-0,165.0
Victoriano Sosa,sosavi01,,
Geovany Soto,sotoge01,6-1,225.0
Giovanni Soto,sotogi01,6-2,210.0
Gregory Soto,sotogr01,6-1,234.0
Juan Soto,sotoju01,6-2,224.0
Liván Soto,sotoli01,5-10,160.0
Mario Soto,sotoma01,6-0,174.0
Neftali Soto,sotone01,6-1,210.0
Josh Spence,spencjo01,6-2,195.0
Paul Spoljaric,spoljpa01,6-3,205.0
Ed Springer,sprined01,6-2,187.0
Matt Stairs,stairma01,5-9,200.0
Craig Stansberry,stanscr01,6-0,185.0
Con Starkel,starkco01,6-0,200.0
John Stedronsky,stedrjo01,,
Bob Steele,steelbo01,5-10,175.0
Rennie Stennett,stennre01,5-11,160.0
John Stephens,stephjo03,6-1,200.0
Adam Stern,sternad01,5-11,190.0
Andy Stewart,stewaan01,5-11,205.0
Phil Stockman,stockph01,6-8,240.0
Tobi Stoner,stoneto01,6-2,215.0
Max St. Pierre,stpiema01,6-0,175.0
Les Straker,strakle01,6-1,193.0
Pedro Strop,stroppe01,6-1,220.0
Albert Suárez,suareal01,6-3,235.0
Eugenio Suárez,suareeu01,5-11,213.0
José Suarez,suarejo01,5-10,225.0
José Suárez,suarejo02,5-8,
Luis Suárez,suarelu01,5-11,170.0
Ranger Suárez,suarera01,6-1,217.0
Robert Suarez,suarero01,6-2,210.0
Jesús Sucre,sucreje01,6-0,200.0
Wander Suero,suerowa01,6-4,216.0
William Suero,suerowi01,5-9,175.0
Bill Sullivan,sullibi01,,
Sleeper Sullivan,sullisl01,5-7,175.0
Ted Sullivan,sullite01,,
Kid Summers,summeki01,5-10,169.0
Leo Sutherland,suthele01,5-10,165.0
Ichiro Suzuki,suzukic01,5-11,175.0
Mac Suzuki,suzukma01,6-3,195.0
Seiya Suzuki,suzukse01,5-11,182.0
Marty Swandell,swandma01,5-10,146.0
R.J. Swindle,swindrj01,6-3,190.0
José Tábata,tabatjo01,5-11,210.0
Kazuhito Tadano,tadanka01,6-0,180.0
So Taguchi,tagucso01,5-10,170.0
Hisanori Takahashi,takahhi01,5-10,180.0
Ken Takahashi,takahke01,6-0,200.0
Shingo Takatsu,takatsh01,6-0,180.0
Kensuke Tanaka,tanakke01,5-9,170.0
Masahiro Tanaka,tanakma01,6-3,218.0
Domingo Tapia,tapiado01,6-3,263.0
Raimel Tapia,tapiara01,6-3,178.0
Danny Tartabull,tartada01,6-1,185.0
José Tartabull,tartajo01,5-11,165.0
Yoshinori Tateyama,tateyyo01,5-10,165.0
Fernando Tatís,tatisfe01,5-11,185.0
Fernando Tatis Jr.,tatisfe02,6-3,217.0
Ramón Tatís,tatisra01,6-2,185.0
Jesús Tavárez,tavarje01,6-0,170.0
Julián Tavárez,tavarju01,6-2,165.0
Álex Taveras,taveral01,5-10,155.0
Frank Taveras,taverfr01,6-0,155.0
Leody Taveras,taverle01,6-2,195.0
Óscar Taveras,taveros01,6-2,200.0
Willy Taveras,taverwi01,6-0,180.0
Ron Taylor,tayloro01,6-1,195.0
Tony Taylor,tayloto02,5-9,170.0
Junichi Tazawa,tazawju01,5-11,200.0
Julio Teheran,teherju01,6-2,205.0
Miguel Tejada,tejadmi01,5-9,220.0
Rubén Tejada,tejadru01,5-11,200.0
Wilfredo Tejada,tejadwi01,6-0,175.0
Anderson Tejeda,tejedan01,6-0,200.0
Rob Tejeda,tejedro01,6-2,245.0
Michael Tejera,tejermi01,5-9,175.0
Amaury Telemaco,telemam01,6-4,220.0
Tomás Telis,telisto01,5-8,220.0
José Tena,tenajo01,5-11,195.0
John Tener,tenerjo01,6-4,180.0
Kai-Wei Teng,tengka01,6-4,260.0
Recurvon Terán,teranre01,5-7,
Luis Terrero,terrelu01,6-3,205.0
Félix Terry,terryfe01,,
Al Thake,thakeal01,6-0,
Juan Then,thenju01,6-1,200.0
Andrés Thomas,thomaan01,6-1,170.0
Brad Thomas,thomabr01,6-4,235.0
Valmy Thomas,thomava01,5-9,165.0
Frank Thompson,thompfr01,5-5,135.0
Rich Thompson,thompri03,6-1,210.0
Tug Thompson,thomptu01,5-8,160.0
Bobby Thomson,thomsbo01,6-2,180.0
Scott Thorman,thormsc01,6-3,225.0
Gerald Thorne,thornge01,,
Lewis Thorpe,thorple01,6-1,218.0
Luis Tiant,tiantlu01,6-0,180.0
Luis Tiant,tiantlu02,5-10,150.0
Jesús Tinoco,tinocje01,6-4,258.0
Jorge Toca,tocajo01,6-3,220.0
Carlos Tocci,toccica01,6-2,180.0
José Tolentino,tolenjo01,6-1,195.0
Yasmany Tomás,tomasya01,6-2,260.0
Rupe Toppin,toppiru01,6-0,185.0
Abraham Toro,toroab01,6-0,223.0
Álex Torres,torreal01,5-10,190.0
Ángel Torres,torrean01,5-11,168.0
Armando Torres,torrear01,,
Dilson Torres,torredi01,6-3,200.0
Eider Torres,torreei01,5-8,165.0
Félix Torres,torrefe01,5-11,165.0
Gacho Torres,torrega01,5-11,172.0
Gil Torres,torregi01,6-0,155.0
Gleyber Torres,torregl01,6-1,205.0
Héctor Torres,torrehe01,6-0,175.0
José Torres,torrejo02,6-2,175.0
Luis Torrens,torrelu01,5-11,217.0
Pablo Torrealba,torrepa01,5-10,173.0
Ramón Torres,torrera01,5-11,190.0
Ricardo Torres,torreri01,5-11,160.0
Ronald Torreyes,torrero01,5-8,155.0
Rusty Torres,torreru01,5-10,175.0
Salomón Torres,torresa01,5-11,150.0
Steve Torrealba,torrest01,6-0,175.0
Yorvit Torrealba,torreyo01,5-11,200.0
Cristóbal Torriente,torricr99,5-10,190.0
Rene Tosoni,tosonre01,6-0,195.0
César Tovar,tovarce01,5-9,155.0
Ezequiel Tovar,tovarez01,6-0,162.0
Wilfredo Tovar,tovarwi01,5-7,180.0
Álex Treviño,trevial01,5-10,165.0
Bobby Treviño,trevibo01,6-2,185.0
Manny Trillo,trillma01,6-1,150.0
Carlos Triunfel,triunca01,5-11,195.0
Chadwick Tromp,trompch01,5-8,221.0
Ramón Troncoso,troncra01,6-2,215.0
Bob Troy,troybu01,6-4,195.0
Chin-hui Tsao,tsaoch01,6-2,170.0
Jen-Ho Tseng,tsengje01,6-1,210.0
Yoshi Tsutsugo,tsutsyo01,6-0,225.0
Óscar Tuero,tueroos01,5-8,158.0
Edwin Uceta,ucetaed01,6-0,155.0
Koji Uehara,ueharko01,6-2,195.0
Luis Ugueto,uguetlu01,6-0,195.0
Sandy Ullrich,ullrisa01,6-1,180.0
Frank Ulrich,ulricdu01,6-2,195.0
John Upham,uphamjo01,6-0,180.0
Ugueth Urbina,urbinug01,6-2,185.0
Lino Urdaneta,urdanli01,6-1,220.0
José Ureña,urenajo01,6-2,208.0
Richard Ureña,urenari01,6-0,195.0
Julio Urías,uriasju01,6-0,225.0
Luis Urías,uriaslu01,5-10,202.0
Ramón Urías,uriasra01,5-10,185.0
Abner Uribe,uribeab01,6-3,215.0
José Uribe,uribejo01,5-10,155.0
Juan Uribe,uribeju01,6-0,245.0
José Urquidy,urquijo01,6-0,215.0
Henry Urrutia,urruthe01,6-5,200.0
Gio Urshela,urshegi01,6-0,215.0
Naoyuki Uwasawa,uwasana01,6-1,194.0
Gene Vadeboncoeur,vadebge01,5-6,150.0
Luis Valbuena,valbulu01,5-10,215.0
Carlos Valdéz,valdeca01,5-11,165.0
Carlos Valderrama,valdeca02,6-0,180.0
César Valdez,valdece01,6-2,225.0
Efrain Valdéz,valdeef01,5-11,180.0
Enmanuel Valdéz,valdeen01,5-8,191.0
Faustino Valdés,valdefa01,,
Fermín Valdés,valdefe01,5-7,150.0
Framber Valdez,valdefr01,5-11,230.0
Ismael Valdéz,valdeis01,6-3,185.0
José Valdéz,valdejo01,6-4,200.0
Jordany Valdespin,valdejo02,6-0,205.0
José Váldez,valdejo03,5-11,210.0
Julio Valdéz,valdeju01,6-2,160.0
Jairo Asencio,valdelu01,6-2,180.0
Mario Valdéz,valdema02,6-1,215.0
Merkin Valdéz,valdeme01,6-3,235.0
Pedro Valdés,valdepe01,6-1,205.0
Phillips Valdéz,valdeph01,6-2,160.0
Rafael Valdéz,valdera01,5-11,165.0
Raúl Valdés,valdera02,5-11,190.0
René Valdés,valdere01,6-3,175.0
Roy Valdés,valdero01,5-11,185.0
Sandy Valdespino,valdesa01,5-8,170.0
Sergio Valdéz,valdese01,6-0,165.0
Wilson Valdéz,valdewi01,5-11,170.0
José Valdivielso,valdijo01,6-1,175.0
Benny Valenzuela,valenbe01,5-10,175.0
Fernando Valenzuela,valenfe01,5-11,180.0
Javier Valentín,valenja01,5-10,198.0
Jesmuel Valentín,valenje01,5-9,180.0
José Valentín,valenjo03,5-10,175.0
Breyvic Valera,valerbr01,5-11,190.0
Julio Valera,valerju01,6-2,185.0
Yohanny Valera,valeryo01,6-1,196.0
Héctor Valle,vallehe01,5-9,180.0
Elmer Valo,valoel01,5-11,190.0
José Valverde,valvejo01,6-4,265.0
Ozzie Van Brabant,vanbroz01,6-1,165.0
Rick van den Hurk,vanderi01,6-5,215.0
Carlos Vargas,vargaca01,6-4,210.0
César Vargas,vargace01,6-2,237.0
Claudio Vargas,vargacl01,6-4,235.0
Eddie Vargas,vargaed01,6-4,205.0
Ildemaro Vargas,vargail01,6-0,202.0
José Vargas,vargajo01,5-6,
Kennys Vargas,vargake01,6-5,290.0
Miguel Vargas,vargami01,6-2,205.0
Roberto Vargas,vargaro01,5-11,170.0
Tetelo Vargas,vargate01,5-9,142.0
Orlando Varona,varonor01,6-0,170.0
Esmerling Vásquez,vasques01,6-1,200.0
Jorge Vásquez,vasqujo01,6-1,215.0
Rafael Vásquez,vasqura01,6-0,160.0
Randy Vásquez,vasqura02,6-0,165.0
Armando Vázquez,vazquar01,5-8,160.0
Christian Vázquez,vazquch01,5-9,205.0
Javier Vázquez,vazquja01,6-2,210.0
Luis Vázquez,vazqulu01,6-0,165.0
Ramón Vázquez,vazqura01,5-11,195.0
Jesús Vega,vegaje01,6-1,176.0
Jorge Velandia,velanjo01,5-9,160.0
Guillermo Velasquez,velasgu01,6-3,220.0
José Velásquez,velasjo01,,
Carlos Velázquez,velazca01,5-11,180.0
Freddie Velázquez,velazfr01,6-1,185.0
Hector Velázquez,velazhe01,6-0,218.0
Nelson Velázquez,velazne01,6-0,190.0
Eugenio Vélez,velezeu01,6-1,170.0
Otto Vélez,velezot01,6-0,170.0
Yordano Ventura,ventuyo01,6-0,195.0
Darío Veras,verasda01,6-2,165.0
José Veras,verasjo01,6-6,240.0
Quilvio Veras,verasqu01,5-9,166.0
Wilton Veras,veraswi01,6-2,186.0
Zoilo Versalles,versazo01,5-10,146.0
Dayán Viciedo,vicieda01,5-11,240.0
José Vidal,vidaljo01,6-0,190.0
José Vidro,vidrojo01,5-11,175.0
Thyago Vieira,vieirth01,6-3,259.0
Engelb Vielma,vielmen01,5-11,165.0
Brayan Villarreal,villabr02,6-0,170.0
Carlos Villanueva,villaca01,6-2,220.0
Christian Villanueva,villach01,5-11,210.0
Eduardo Villacis,villaed01,6-2,170.0
Héctor Villanueva,villahe01,6-1,220.0
Henry Villar,villahe02,5-11,180.0
Jonathan Villar,villajo01,6-0,233.0
Manuel Villa,villama01,5-7,
Óscar Villarreal,villaos01,6-0,195.0
Ismael Villegas,villeis01,6-1,188.0
Luis Villodas,villolu01,6-2,205.0
Meibrys Viloria,vilorme01,5-11,225.0
Pedro Viola,violape01,6-1,185.0
Ozzie Virgil,virgioz01,6-1,174.0
Ozzie Virgil,virgioz02,6-1,180.0
Arodys Vizcaíno,vizcaar01,6-0,245.0
José Vizcaíno,vizcajo01,6-1,150.0
Luis Vizcaíno,vizcalu01,6-1,170.0
Omar Vizquel,vizquom01,5-9,180.0
Edinson Vólquez,volqued01,6-0,220.0
Joey Votto,vottojo01,6-2,220.0
Tsuyoshi Wada,wadats01,5-11,180.0
Tom Waddell,waddeto01,6-1,185.0
Héctor Wagner,wagnehe02,6-3,185.0
Dave Wainhouse,wainhda01,6-2,190.0
Ed Walker,walkeed01,6-5,242.0
George Walker,walkege01,5-9,184.0
Larry Walker,walkela01,6-2,185.0
Jimmy Walsh,walshji02,5-10,170.0
Chien-Ming Wang,wangch01,6-4,225.0
Wei-Chung Wang,wangwe01,6-1,160.0
Pete Ward,wardpe01,6-1,185.0
Bill Watkins,watkibi01,5-10,156.0
Joe Weber,weberjo01,5-9,167.0
Ramón Webster,webstra02,6-0,185.0
Alex Wells,wellsal01,6-1,195.0
Tony Welzer,welzeto01,5-11,160.0
Stefan Wever,weverst01,6-8,245.0
Aaron Whitefield,whiteaa01,6-4,210.0
Devon White,whitede03,6-1,170.0
Milt Whitehead,whitemi01,5-8,154.0
Sam White,whitesa01,6-0,185.0
Rowan Wick,wickro01,6-3,234.0
Jimmy Wiggs,wiggsji01,6-4,200.0
Aldon Wilkie,wilkile01,5-11,175.0
Albert Williams,willial03,6-4,190.0
Bernie Williams,willibe02,6-2,180.0
Glenn Williams,willigl01,6-2,195.0
Jeff Williams,willije02,6-0,185.0
Alex Wilson,wilsoal01,6-0,227.0
Enrique Wilson,wilsoen01,5-11,160.0
Nigel Wilson,wilsoni01,6-1,185.0
Steve Wilson,wilsost01,6-4,205.0
Ed Wingo,wingoed01,5-6,145.0
Rynie Wolters,woltery01,6-0,165.0
Fred Wood,woodfr01,5-5,150.0
George Wood,woodge01,5-10,175.0
Pete Wood,woodpe01,5-7,185.0
Harry Wright,wrighha01,5-9,157.0
Jim Wright,wrighji01,6-2,195.0
Leovigildo Xiqués,xiquele01,6-0,163.0
Keiichi Yabu,yabuke01,6-0,200.0
Yasuhiko Yabuta,yabutya01,6-2,190.0
Miguel Yajure,yajurmi01,6-1,215.0
Shun Yamaguchi,yamagsh01,6-2,225.0
Yoshinobu Yamamoto,yamamyo01,5-10,176.0
Esteban Yan,yanes01,6-4,255.0
Hyeon-jong Yang,yanghy01,6-0,200.0
Juan Yepez,yepezju01,6-1,235.0
Gabriel Ynoa,ynoaga01,6-2,205.0
Huascar Ynoa,ynoahu01,6-2,220.0
Michael Ynoa,ynoami01,6-7,210.0
Rafael Ynoa,ynoara01,6-0,190.0
Masato Yoshii,yoshima01,6-2,210.0
Masataka Yoshida,yoshima02,5-8,192.0
Gerald Young,youngge02,6-2,185.0
Henry Youngman,younghe01,5-9,175.0
Jared Young,youngja02,6-0,200.0
Adrián Zabala,zabalad01,5-11,165.0
Aneurys Zabala,zabalan01,6-3,259.0
Carlos Zambrano,zambrca01,6-4,275.0
Eddie Zambrano,zambred01,6-2,175.0
Víctor Zambrano,zambrvi01,6-0,190.0
Óscar Zamora,zamoros01,5-10,178.0
Joe Zapustas,zapusjo01,6-1,185.0
Mauro Zárate,zaratma01,6-1,180.0
José Zardón,zardojo01,6-0,150.0
Rob Zastryzny,zastrro01,6-3,205.0
Ángel Zerpa,zerpaan01,6-0,220.0
Bill Zimmerman,zimmebi01,5-8,172.0
Jeff Zimmerman,zimmeje02,6-1,200.0
Jordan Zimmerman,zimmejo01,6-0,200.0
Julio Zuleta,zuletju01,6-6,230.0
Guillo Zuñiga,zuniggu01,6-5,230.0
